ts,appid,concurrent,peak_in_game,src
1787203182,3376990,13,,single
1787203183,2070550,2,,single
1787203185,2179170,9,,single
1787203186,1055540,22,,single
1787203188,1307580,41,,single
1787203189,1586800,9,,single
1787203191,1129190,144,,single
1787203193,1740300,6,,single
1787203194,1969080,4,,single
1787203196,1567800,15,,single
1787203198,1864950,78,,single
1787203199,2073910,9,,single
1787203201,1717770,4,,single
1787203202,2869860,6,,single
1787203204,2840190,2,,single
1787203205,2124380,3,,single
1787203207,3373660,389,,single
1787203208,1405500,9,,single
1787203209,2714620,7,,single
1787203211,623080,3,,single
1787203212,620,899,,single
1787203214,1089980,76,,single
1787203215,1118200,2323,,single
1787203216,413150,49940,,single
1787203218,400,259,,single
1787203219,1794680,2123,,single
1787203221,3164500,7409,,single
1787203222,2231450,178,,single
1787203224,1145360,2345,,single
1787203225,546560,117,,single
1787203227,374320,2667,,single
1787203228,2694490,11328,,single
1787203229,2246340,9713,,single
1787203231,1623730,139160,,single
1787203232,220,943,,single
1787203233,420,16,,single
1787203235,3830,49,,single
1787203236,15710,4,,single
1787203238,31270,2,,single
1787203239,40800,47,,single
1787203241,200010,1,,single
1787203242,200710,154,,single
1787203243,204030,20,,single
1787203245,207690,4,,single
1787203246,208200,50,,single
1787203248,211420,93,,single
1787203249,214490,233,,single
1787203251,219680,0,,single
1787203252,219990,6007,,single
1787203253,226740,0,,single
1787203255,227000,0,,single
1787203256,236430,122,,single
1787203258,237740,1,,single
1787203259,238960,19093,,single
1787203260,239430,1,,single
1787203262,250600,4,,single
1787203263,251270,2,,single
1787203265,261530,0,,single
1787203266,264380,12,,single
1787203268,265210,4,,single
1787203269,265610,8,,single
1787203271,274270,1,,single
1787203272,274520,76,,single
1787203273,282140,62,,single
1787203275,303610,6,,single
1787203276,310360,39,,single
1787203277,315810,12,,single
1787203280,323470,66,,single
1787203281,324160,81,,single
1787203282,331870,0,,single
1787203284,333600,37,,single
1787203285,335300,1085,,single
1787203286,337340,8,,single
1787203288,339190,4,,single
1787203289,345180,7,,single
1787203291,351970,26,,single
1787203292,353330,1,,single
1787203293,359510,24,,single
1787203295,362890,295,,single
1787203296,367500,264,,single
1787203298,373770,1,,single
1787203299,384190,17,,single
1787203300,385800,9,,single
1787203302,399810,11,,single
1787203303,409660,0,,single
1787203305,418030,140,,single
1787203306,418370,804,,single
1787203307,430960,1,,single
1787203309,467380,1,,single
1787203310,477870,3,,single
1787203312,480490,249,,single
1787203313,483980,4,,single
1787203314,487430,1,,single
1787203316,501590,15,,single
1787203317,506870,0,,single
1787203319,508550,1,,single
1787203320,524910,5,,single
1787203322,526870,9260,,single
1787203323,527430,126,,single
1787203325,544330,0,,single
1787203326,550010,8,,single
1787203327,562360,36,,single
1787203329,563840,0,,single
1787203330,568770,7,,single
1787203332,570940,1586,,single
1787203333,580200,2,,single
1787203334,582010,10678,,single
1787203336,583470,11,,single
1787203337,593150,5,,single
1787203339,602700,3,,single
1787203340,635940,28,,single
1787203342,642090,1,,single
1787203343,654880,6,,single
1787203345,665370,4,,single
1787203346,674140,41,,single
1787203349,691450,5,,single
1787203351,711660,6,,single
1787203352,729660,0,,single
1787203354,736570,0,,single
1787203355,745920,73,,single
