ts,appid,concurrent,peak_in_game,src
1790095868,2070550,8,,single
1790095869,1055540,44,,single
1790095871,1586800,17,,single
1790095873,1740300,6,,single
1790095875,1567800,10,,single
1790095876,2073910,42,,single
1790095878,2869860,9,,single
1790095879,2124380,7,,single
1790095881,1405500,2,,single
1790095882,623080,0,,single
1790095884,1089980,91,,single
1790095885,413150,47509,,single
1790095887,1794680,3969,,single
1790095888,2231450,264,,single
1790095890,546560,474,,single
1790095891,2694490,50634,,single
1790095892,1623730,62925,,single
1790095894,420,41,,single
1790095895,15710,9,,single
1790095897,40800,92,,single
1790095899,200710,323,,single
1790095900,207690,6,,single
1790095902,209370,0,,single
1790095903,214490,291,,single
1790095904,219990,5662,,single
1790095906,227000,7,,single
1790095908,237740,1,,single
1790095909,239430,2,,single
1790095910,251270,1,,single
1790095912,264380,13,,single
1790095914,265610,49,,single
1790095915,274520,85,,single
1790095917,301860,0,,single
1790095918,310360,29,,single
1790095920,323320,3,,single
1790095921,324160,89,,single
1790095923,333600,56,,single
1790095925,337340,9,,single
1790095926,345180,12,,single
1790095928,353330,1,,single
1790095929,362890,611,,single
1790095931,373770,4,,single
1790095932,384190,9,,single
1790095934,385800,17,,single
1790095935,409660,0,,single
1790095937,418370,1816,,single
1790095938,449040,0,,single
1790095940,477870,5,,single
1790095941,483980,23,,single
1790095943,501590,61,,single
1790095944,508550,1,,single
1790095946,526870,14829,,single
1790095947,544330,4,,single
1790095949,562360,5,,single
1790095950,568770,6,,single
1790095952,580200,21,,single
1790095953,583470,17,,single
1790095955,602700,1,,single
1790095956,642090,1,,single
1790095958,665370,8,,single
1790095959,691450,3,,single
1790095961,729660,0,,single
1790095962,745920,105,,single
1790095964,764790,42,,single
1790095965,802880,38,,single
1790095967,829280,8,,single
1790095968,862440,0,,single
1790095970,892970,179741,,single
1790095971,899440,104,,single
1790095973,910630,2,,single
1790095974,920320,2,,single
1790095976,951000,0,,single
1790095977,963000,0,,single
1790095979,973230,30,,single
1790095980,983870,240,,single
1790095982,1012570,0,,single
1790095983,1040420,9,,single
1790095985,1062520,750,,single
1790095986,1067850,12,,single
1790095988,1082710,43,,single
1790095989,1092700,12,,single
1790095991,1092720,27,,single
1790095992,1119840,2,,single
1790095994,1145350,3501,,single
1790095995,1159690,239,,single
1790095997,1171320,2,,single
1790095998,1177980,72,,single
1790096000,1218210,79,,single
1790096001,1237320,195,,single
1790096003,1245560,96,,single
1790096004,1272840,1,,single
1790096006,1280930,70,,single
1790096007,1321440,181,,single
1790096009,1364960,17,,single
1790096010,1374490,20376,,single
1790096011,1382070,118,,single
1790096013,1441550,11,,single
1790096014,1477790,0,,single
1790096016,1516240,2,,single
1790096018,1549550,4,,single
1790096019,1587560,1,,single
1790096021,1599020,27,,single
1790096022,1629520,509,,single
1790096023,1658150,102,,single
1790096025,1709880,12,,single
1790096027,1733060,2,,single
1790096028,1772830,47,,single
1790096030,1819460,2,,single
1790096031,1895350,17,,single
1790096033,1924360,6,,single
1790096034,1944570,9,,single
1790096036,1948280,284,,single
1790096037,2007530,2,,single
1790096039,2238040,4,,single
1790096040,2246880,21,,single
1790096042,2256450,9,,single
1790096043,2276930,219,,single
1790096045,2313240,0,,single
1790096046,2356500,1,,single
1790096048,2415010,148,,single
1790096049,2479320,2,,single
1790096051,2525380,106,,single
1790096052,2637990,6,,single
1790096054,2788520,43,,single
1790096055,3027930,61,,single
1790096057,3069810,17,,single
1790096058,3263320,43,,single
1790096060,10,11737,,single
1790096061,240,3430,,single
1790096063,550,19639,,single
1790096064,2310,232,,single
1790096065,3480,234,,single
1790096067,4000,27313,,single
1790096068,6910,75,,single
1790096070,13230,29,,single
1790096071,22320,362,,single
1790096073,22380,2834,,single
1790096074,32440,181,,single
1790096076,33100,27,,single
1790096077,40970,721,,single
1790096079,70400,17,,single
1790096080,105600,32286,,single
1790096082,205100,533,,single
1790096083,207610,178,,single
1790096084,219150,321,,single
1790096086,223470,499,,single
1790096087,230290,313,,single
1790096089,236090,4,,single
1790096090,239030,370,,single
1790096092,242680,179,,single
1790096093,246420,259,,single
1790096095,250320,95,,single
1790096096,253230,183,,single
1790096098,261030,50,,single
1790096099,264710,2433,,single
1790096101,270880,6532,,single
1790096102,280220,194,,single
1790096104,288160,45,,single
1790096105,303590,2,,single
1790096107,312530,92,,single
1790096108,319630,352,,single
1790096110,341800,103,,single
1790096111,360740,15,,single
1790096112,367520,7142,,single
1790096114,407900,1,,single
1790096115,412830,194,,single
1790096117,418240,115,,single
1790096118,424280,8,,single
1790096120,427410,2404,,single
1790096121,433340,1084,,single
1790096123,434170,58,,single
1790096124,447530,51,,single
1790096126,457140,6541,,single
1790096127,466300,63,,single
1790096129,488860,143,,single
1790096130,508440,1435,,single
1790096132,519860,53,,single
1790096133,531510,72,,single
1790096135,548430,5318,,single
1790096136,557630,10,,single
1790096138,593280,42,,single
1790096139,597220,48,,single
1790096141,610370,116,,single
1790096142,615120,3,,single
1790096144,617670,20,,single
1790096145,646570,6924,,single
1790096147,667970,176,,single
1790096148,683320,55,,single
1790096150,736260,211,,single
1790096151,760890,13,,single
1790096153,774801,289,,single
1790096154,791470,14,,single
1790096156,805590,0,,single
1790096157,850190,249,,single
1790096159,858210,98,,single
1790096160,897330,540,,single
1790096162,909080,121,,single
1790096163,926990,371,,single
1790096165,990630,142,,single
1790096166,1040200,945,,single
1790096168,1043810,31,,single
1790096169,1059990,31,,single
1790096171,1070710,1,,single
1790096173,1092590,1,,single
1790096175,1093910,7,,single
1790096176,1104380,6,,single
1790096178,1113000,1148,,single
1790096179,1123450,5,,single
1790096181,1127500,437,,single
1790096182,1162750,668,,single
1790096184,1171370,3,,single
1790096185,1178030,1,,single
1790096186,1201280,2,,single
1790096189,1211020,1251,,single
1790096190,1229490,3201,,single
1790096192,1255650,1,,single
1790096193,1269640,4,,single
1790096195,1275890,77,,single
1790096196,1282200,0,,single
1790096198,1284190,4894,,single
1790096199,1286710,4,,single
1790096201,1290000,1107,,single
1790096202,1293180,14,,single
1790096204,1304680,8,,single
1790096205,1332010,508,,single
1790096207,1349060,1,,single
1790096208,1361320,37,,single
1790096210,1369320,159,,single
1790096211,1390350,25,,single
1790096213,1411910,41,,single
1790096214,1422650,1,,single
1790096216,1428310,0,,single
1790096218,1469280,10,,single
1790096219,1500740,15,,single
1790096221,1507970,3,,single
1790096222,1520370,447,,single
1790096224,1533420,133,,single
1790096225,1540570,29,,single
1790096227,1546570,47,,single
1790096228,1564790,4,,single
1790096230,1584090,286,,single
1790096231,1593500,2282,,single
1790096233,1628610,7,,single
1790096235,1639790,8,,single
1790096236,1668190,1,,single
1790096238,1671210,3416,,single
1790096239,1683150,376,,single
1790096241,1686940,218,,single
1790096242,1710100,1,,single
1790096243,1718570,776,,single
1790096245,1725640,9,,single
1790096246,1764390,5,,single
1790096248,1775490,45,,single
1790096249,1808800,1,,single
1790096251,1817230,61,,single
1790096252,1868140,4660,,single
1790096254,1876890,2938,,single
1790096255,1901370,18,,single
1790096257,1927720,12,,single
1790096258,1931770,275,,single
1790096260,1942280,7918,,single
1790096261,1966720,2386,,single
1790096263,1970460,16,,single
1790096264,1996010,20,,single
1790096266,2006140,13,,single
1790096267,2050650,10492,,single
1790096269,2059670,0,,single
1790096270,2067780,51,,single
1790096271,2088840,33,,single
1790096273,2111190,20,,single
1790096274,2113850,1820,,single
1790096276,2132850,258,,single
1790096277,2159210,1,,single
1790096279,2167960,49,,single
1790096280,2198150,399,,single
