ts,appid,concurrent,peak_in_game,src
1789630312,316720,0,,single
1789630314,862440,1,,single
1789630315,57400,0,,single
1789630317,900883,0,,single
1789630318,904750,0,,single
1789630320,976940,0,,single
1789630321,992740,0,,single
1789630323,1216080,0,,single
1789630324,1368860,0,,single
1789630326,1422050,0,,single
1789630327,1559430,0,,single
1789630329,1888430,0,,single
1789630330,2781210,0,,single
1789630332,3147900,0,,single
1789630333,2130,0,,single
1789630334,15280,0,,single
1789630336,15560,0,,single
1789630337,17340,0,,single
1789630339,33680,0,,single
1789630340,35010,0,,single
1789630342,47830,1,,single
1789630343,56437,0,,single
1789630345,91900,1,,single
1789630346,95700,6,,single
1789630348,99830,0,,single
1789630349,115300,0,,single
1789630351,214190,0,,single
1789630352,214700,0,,single
1789630353,215670,0,,single
1789630355,225280,1,,single
1789630356,232450,0,,single
1789630358,234940,0,,single
1789630359,235340,0,,single
1789630361,239800,0,,single
1789630362,248550,0,,single
1789630364,250500,2,,single
1789630365,250820,0,,single
1789630366,251170,0,,single
1789630368,252250,0,,single
1789630369,263500,0,,single
1789630371,265750,0,,single
1789630372,269050,0,,single
1789630374,285580,0,,single
1789630375,291410,0,,single
1789630376,294140,0,,single
1789630378,322780,0,,single
1789630379,327560,0,,single
1789630381,327690,0,,single
1789630382,331360,0,,single
1789630383,331370,0,,single
1789630385,331500,0,,single
1789630386,336390,0,,single
1789630388,348620,0,,single
1789630389,349890,0,,single
1789630391,352460,0,,single
1789630392,353130,0,,single
1789630393,369580,0,,single
1789630395,374670,0,,single
1789630396,375230,0,,single
1789630398,378660,0,,single
1789630399,388520,0,,single
1789630401,393410,0,,single
1789630402,402570,0,,single
1789630404,407840,0,,single
1789630405,411560,0,,single
1789630407,412400,0,,single
1789630408,415270,0,,single
1789630410,427270,0,,single
1789630411,429470,0,,single
1789630413,460060,0,,single
1789630414,461560,0,,single
1789630416,461910,0,,single
1789630417,468250,0,,single
1789630419,497640,0,,single
1789630420,502940,0,,single
1789630422,506540,0,,single
1789630423,511800,0,,single
1789630425,513230,2,,single
1789630426,517910,0,,single
1789630428,530700,0,,single
1789630429,556820,0,,single
1789630431,587220,0,,single
1789630432,644290,1,,single
1789630433,648430,0,,single
1789630435,651150,0,,single
1789630436,665490,1,,single
1789630438,676820,0,,single
1789630439,705220,0,,single
1789630441,723780,0,,single
1789630442,734580,0,,single
1789630443,735570,1,,single
1789630445,740250,0,,single
1789630446,744810,0,,single
1789630448,748370,0,,single
1789630450,748940,0,,single
1789630451,751690,0,,single
1789630452,763410,0,,single
1789630454,809960,0,,single
1789630455,816350,1,,single
1789630457,835860,0,,single
1789630458,840260,1,,single
1789630460,876160,0,,single
1789630461,893520,0,,single
1789630468,901583,,,single
1789630474,901735,,,single
1789630476,920690,0,,single
1789630478,969680,0,,single
1789630480,971680,0,,single
1789630481,1024890,0,,single
1789630483,1057240,0,,single
1789630484,1057850,0,,single
1789630486,1061100,0,,single
1789630487,1072710,0,,single
1789630488,1094710,0,,single
1789630490,1098490,0,,single
1789630491,1104640,0,,single
1789630493,1106750,0,,single
1789630494,1127460,0,,single
1789630496,1138100,0,,single
1789630497,1144110,0,,single
1789630499,1162930,0,,single
1789630500,1189800,0,,single
1789630502,1201630,0,,single
1789630503,1206240,0,,single
1789630505,1233550,0,,single
1789630506,1254900,0,,single
1789630507,1284240,0,,single
1789630509,1292040,0,,single
1789630510,1318420,0,,single
1789630512,1341230,0,,single
1789630513,1371480,0,,single
1789630515,1372880,0,,single
1789630516,1399780,0,,single
1789630517,1424720,0,,single
1789630519,1426050,0,,single
1789630520,1435310,0,,single
1789630522,1469250,0,,single
1789630523,1493800,0,,single
1789630524,1497640,0,,single
1789630526,1506510,1,,single
1789630527,1509650,0,,single
1789630529,1546540,0,,single
1789630530,1681160,0,,single
1789630532,2267810,0,,single
1789630533,2487350,0,,single
1789630534,2685620,0,,single
1789630536,3267430,0,,single
1789630537,2360,0,,single
1789630539,11280,0,,single
1789630540,12220,0,,single
1789630541,15520,0,,single
1789630543,17080,0,,single
1789630544,29800,1,,single
1789630546,32420,0,,single
1789630547,33229,0,,single
1789630549,42120,0,,single
1789630550,72000,0,,single
1789630552,94000,0,,single
1789630553,95300,0,,single
1789630555,99700,1,,single
1789630556,107800,0,,single
1789630559,200910,1,,single
1789630560,207040,0,,single
1789630562,207430,0,,single
1789630563,207650,0,,single
1789630564,208600,0,,single
1789630566,209270,0,,single
1789630567,209830,0,,single
1789630568,219340,0,,single
1789630570,220460,0,,single
1789630571,224440,0,,single
1789630573,224540,0,,single
1789630574,225600,1,,single
1789630576,227160,0,,single
1789630577,227480,0,,single
1789630578,230840,0,,single
1789630580,231040,0,,single
1789630581,238280,0,,single
1789630583,239660,0,,single
1789630584,243220,0,,single
1789630586,246700,0,,single
1789630587,248630,0,,single
1789630588,248800,0,,single
1789630590,259570,0,,single
1789630591,259600,0,,single
1789630593,260790,1,,single
1789630594,263100,0,,single
1789630596,264120,0,,single
1789630597,264240,0,,single
1789630599,266150,0,,single
1789630600,266490,0,,single
1789630602,269170,0,,single
1789630603,272890,0,,single
1789630605,277930,0,,single
1789630606,280520,0,,single
1789630608,284460,0,,single
1789630609,286940,0,,single
1789630610,288930,0,,single
1789630612,292630,0,,single
1789630613,295550,0,,single
1789630615,295690,0,,single
1789630616,296300,0,,single
1789630617,296910,0,,single
1789630619,297110,0,,single
1789630620,297350,0,,single
1789630627,300080,,,single
1789630628,302270,0,,single
1789630630,305960,0,,single
1789630637,312150,0,,single
1789630638,312210,0,,single
1789630639,318220,1,,single
1789630644,318430,0,,single
1789630645,319140,1,,single
1789630647,320820,0,,single
1789630649,322300,0,,single
1789630655,323910,,,single
1789630657,331120,0,,single
1789630658,331200,0,,single
1789630660,332070,0,,single
1789630661,332500,0,,single
1789630663,333250,0,,single
1789630664,335330,0,,single
1789630666,336130,1,,single
1789630667,337950,0,,single
1789630669,340270,0,,single
1789630670,342480,0,,single
1789630672,343750,0,,single
1789630673,349700,0,,single
1789630674,349720,0,,single
1789630676,351340,0,,single
1789630677,354640,0,,single
1789630678,361550,0,,single
1789630680,361800,0,,single
1789630681,366440,0,,single
1789630683,367600,0,,single
1789630684,368990,0,,single
1789630686,369400,0,,single
1789630687,372540,0,,single
1789630688,375510,0,,single
1789630690,376570,0,,single
1789630691,382050,0,,single
1789630693,383230,0,,single
1789630694,386010,0,,single
1789630695,388320,0,,single
1789630697,389040,0,,single
1789630698,389670,1,,single
1789630700,400250,1,,single
1789630701,401810,0,,single
1789630703,404480,0,,single
1789630704,408120,0,,single
1789630706,408520,0,,single
1789630707,409510,1,,single
1789630709,412450,1,,single
1789630710,415590,1,,single
1789630711,415860,0,,single
1789630713,415880,0,,single
1789630714,416130,0,,single
1789630716,417890,0,,single
1789630717,417910,0,,single
1789630719,419460,1,,single
1789630720,428370,0,,single
1789630722,429940,0,,single
1789630723,436560,0,,single
1789630725,439350,0,,single
1789630726,439370,0,,single
1789630728,454350,0,,single
1789630729,455120,0,,single
1789630730,463390,0,,single
1789630732,466660,0,,single
1789630733,467660,0,,single
1789630735,467820,0,,single
1789630736,468560,0,,single
1789630738,477270,0,,single
1789630739,486650,0,,single
1789630740,513560,0,,single
1789630742,518580,0,,single
1789630743,521340,0,,single
1789630745,523210,0,,single
1789630746,529110,0,,single
1789630748,542310,0,,single
1789630749,553660,0,,single
1789630751,562590,0,,single
1789630752,570460,1,,single
1789630754,578210,0,,single
1789630755,590690,0,,single
1789630756,594770,0,,single
1789630758,600140,0,,single
1789630759,603880,0,,single
1789630761,606140,0,,single
1789630762,611160,0,,single
1789630764,619080,0,,single
1789630766,629840,0,,single
1789630767,632070,0,,single
1789630768,658570,0,,single
1789630770,658980,0,,single
1789630772,666020,0,,single
1789630774,672640,0,,single
1789630776,676840,0,,single
1789630777,681660,1,,single
1789630779,684200,0,,single
1789630780,686600,0,,single
1789630782,689090,0,,single
1789630784,690510,0,,single
1789630785,707680,0,,single
1789630787,723270,0,,single
1789630788,728540,0,,single
1789630791,731620,0,,single
1789630793,746930,0,,single
1789630794,750050,2,,single
1789630796,757130,0,,single
1789630797,770390,1,,single
1789630799,788690,1,,single
1789630800,791930,0,,single
