ts,appid,concurrent,peak_in_game,src
1786247064,730,586031,1252968,bulk
1786247064,570,461391,845513,bulk
1786247064,1623730,364701,442604,bulk
1786247064,578080,226666,728403,bulk
1786247064,2767030,133201,140992,bulk
1786247064,1172470,123564,291515,bulk
1786247064,2676230,120809,180840,bulk
1786247064,3678970,120248,145206,bulk
1786247064,3419430,115601,147503,bulk
1786247064,252490,93012,162752,bulk
1786247064,108600,91721,115187,bulk
1786247064,3405690,86519,117606,bulk
1786247064,250900,74178,110821,bulk
1786247064,431960,73521,109328,bulk
1786247064,359550,72852,78124,bulk
1786247064,2868840,71886,98862,bulk
1786247064,1422450,70258,82046,bulk
1786247064,2507950,68876,131931,bulk
1786247064,2357570,67133,72119,bulk
1786247064,413150,64154,104793,bulk
1786247064,438100,61097,62632,bulk
1786247064,230410,60460,75674,bulk
1786247064,1086940,59263,74898,bulk
1786247064,381210,56180,71961,bulk
1786247064,1091500,54996,75830,bulk
1786247064,3240220,53394,92927,bulk
1786247064,2807960,50202,62964,bulk
1786247064,1478500,45570,46345,bulk
1786247064,440,44651,59722,bulk
1786247064,271590,44148,88920,bulk
1786247064,236390,42294,76195,bulk
1786247064,238960,41824,77008,bulk
1786247064,550,41038,41038,bulk
1786247064,1085660,40719,41211,bulk
1786247064,322170,38471,59078,bulk
1786247064,553850,36593,42406,bulk
1786247064,1938090,33511,39209,bulk
1786247064,1366800,33208,43177,bulk
1786247064,289070,32883,47692,bulk
1786247064,394360,31565,56661,bulk
1786247064,1973530,31267,35219,bulk
1786247064,221100,30366,56419,bulk
1786247064,1245620,30358,40601,bulk
1786247064,489830,30041,39751,bulk
1786247064,2142790,30022,33891,bulk
1786247064,251570,29275,42761,bulk
1786247064,294100,28640,37019,bulk
1786247064,322330,28322,58555,bulk
1786247064,3932890,27372,44105,bulk
1786247064,105600,27335,39684,bulk
1786247064,3282300,27062,35818,bulk
1786247064,1203220,26814,78928,bulk
1786247064,2399830,26614,34428,bulk
1786247064,1281930,26580,40341,bulk
1786247064,39210,26076,30871,bulk
1786247064,1808500,25819,36025,bulk
1786247064,1174180,25598,38160,bulk
1786247064,261550,25240,40447,bulk
1786247064,3241660,25044,38388,bulk
1786247064,460930,24541,25331,bulk
1786247064,4704690,23977,31442,bulk
1786247064,1222670,23044,32302,bulk
1786247064,3472040,22954,32378,bulk
1786247064,3527290,22123,31191,bulk
1786247064,4000,22031,36074,bulk
1786247064,582660,21852,27173,bulk
1786247064,1364780,21768,40594,bulk
1786247064,1142710,20685,32200,bulk
1786247064,3551340,20678,46582,bulk
1786247064,2483190,20190,32330,bulk
1786247064,1449850,20098,25079,bulk
1786247064,1665460,20050,29411,bulk
1786247064,2073620,19900,34297,bulk
1786247064,2694490,19609,29673,bulk
1786247064,813780,19265,24706,bulk
1786247064,218620,19078,32582,bulk
1786247064,1158310,18201,27079,bulk
1786247064,252950,17878,25373,bulk
1786247064,284160,17630,30168,bulk
1786247064,2246340,17178,26750,bulk
1786247064,2436940,17141,32195,bulk
1786247064,346110,17092,26122,bulk
1786247064,2622380,16786,32047,bulk
1786247064,427520,16258,25412,bulk
1786247064,892970,16014,26052,bulk
1786247064,582010,15912,28219,bulk
1786247064,526870,15501,24324,bulk
1786247064,1905180,15446,29524,bulk
1786247064,881020,14948,21868,bulk
1786247064,2300320,14933,43617,bulk
1786247064,2183900,14888,21099,bulk
1786247064,3164500,14451,18056,bulk
1786247064,2073850,14335,17962,bulk
1786247064,227300,14270,40773,bulk
1786247064,1817070,14070,18706,bulk
1786247064,376210,13732,19296,bulk
1786247064,304930,13504,19382,bulk
1786247064,3787240,13379,16196,bulk
1786247064,3812600,13341,18941,bulk
1786247064,377160,13329,17106,bulk
